COUNTRY,POPULATION,YEARLYCHANGE,NETCHANGE,DENSITY,LAND_AREA,MIGRANTS,FERTRATE,MEDIANAGE,URBANPOP,WORLDSHARE,INS_DATE
 India ,1463865525,0,12929734.0,492,2973190.0,0,1.94,0,0,0,2025-03-29 18:55:33.431037
 China ,1416096094,0,0.0,151,9388211.0,0,1.02,0,0,0,2025-03-29 18:55:33.431119
 United States ,347275807,0,1849236.0,38,9147420.0,1230663,1.62,0,0,0,2025-03-29 18:55:33.431170
 Indonesia ,285721236,0,2233305.0,158,1811570.0,0,2.1,0,0,0,2025-03-29 18:55:33.431212
 Pakistan ,255219554,0,3950390.0,331,770880.0,0,3.5,0,0,0,2025-03-29 18:55:33.431257
 Nigeria ,237527782,0,4848304.0,261,910770.0,0,4.3,0,0,0,2025-03-29 18:55:33.431296
 Brazil ,212812405,0,813832.0,25,8358140.0,0,1.6,0,0,0,2025-03-29 18:55:33.431337
 Bangladesh ,175686899,0,2124535.0,1350,130170.0,0,2.11,26,0,0,2025-03-29 18:55:33.431377
 Russia ,143997393,0,0.0,9,16376870.0,0,1.47,0,0,0,2025-03-29 18:55:33.431430
 Ethiopia ,135472051,0,3412284.0,135,1000000.0,24054,3.81,0,0,0,2025-03-29 18:55:33.431472
 Mexico ,131946900,0,1085893.0,68,1943950.0,0,1.87,0,0,0,2025-03-29 18:55:33.431511
 Japan ,123103479,0,0.0,338,364555.0,140579,1.23,0,0,0,2025-03-29 18:55:33.431552
 Egypt ,118365995,0,1827737.0,119,995450.0,0,2.71,0,0,0,2025-03-29 18:55:33.431595
 Philippines ,116786962,0,943292.0,392,298170.0,0,1.88,0,0,0,2025-03-29 18:55:33.431632
 DR Congo ,112832473,0,3556208.0,50,2267050.0,0,5.9,0,0,0,2025-03-29 18:55:33.431669
 Vietnam ,101598527,0,610841.0,328,310070.0,0,1.88,0,0,0,2025-03-29 18:55:33.431706
 Iran ,92417681,0,849943.0,57,1628550.0,116786,1.67,34,0,0,2025-03-29 18:55:33.431740
 Turkey ,87685426,0,211621.0,114,769630.0,0,1.62,0,0,0,2025-03-29 18:55:33.431773
 Germany ,84075075,0,0.0,241,348560.0,0,1.46,0,0,0,2025-03-29 18:55:33.431811
 Thailand ,71619863,0,0.0,140,510890.0,27509,1.2,0,0,0,2025-03-29 18:55:33.431857
 Tanzania ,70545865,0,1985708.0,80,885800.0,0,4.47,0,0,0,2025-03-29 18:55:33.431895
 United Kingdom ,69551332,0,413140.0,287,241930.0,389911,1.54,0,0,0,2025-03-29 18:55:33.442985
 France ,66650804,0,102274.0,122,547557.0,91737,1.64,0,0,0,2025-03-29 18:55:33.443082
 South Africa ,64747319,0,740132.0,53,1213090.0,146370,2.19,0,0,0,2025-03-29 18:55:33.443136
 Italy ,59146260,0,0.0,201,294140.0,75448,1.21,0,0,0,2025-03-29 18:55:33.443194
 Kenya ,57532493,0,1099549.0,101,569140.0,0,3.12,20,0,0,2025-03-29 18:55:33.443243
 Myanmar ,54850648,0,350557.0,84,653290.0,0,2.08,0,0,0,2025-03-29 18:55:33.443295
 Colombia ,53425635,0,539272.0,48,1109500.0,129139,1.62,0,0,0,2025-03-29 18:55:33.443341
 South Korea ,51667029,0,0.0,531,97230.0,65731,0.75,0,0,0,2025-03-29 18:55:33.443392
 Sudan ,51662147,0,1213184.0,29,1765048.0,291469,4.19,0,0,0,2025-03-29 18:55:33.443437
 Uganda ,51384894,0,1369802.0,257,199810.0,0,4.06,0,0,0,2025-03-29 18:55:33.443484
 Spain ,47889958,0,0.0,96,498800.0,96630,1.23,0,0,0,2025-03-29 18:55:33.443534
 Algeria ,47435312,0,621004.0,20,2381740.0,0,2.67,0,0,0,2025-03-29 18:55:33.443595
 Iraq ,47020774,0,978759.0,108,434320.0,0,3.17,0,0,0,2025-03-29 18:55:33.443644
 Argentina ,45851378,0,155219.0,17,2736690.0,2859,1.5,0,0,0,2025-03-29 18:55:33.443687
 Afghanistan ,43844111,0,1196619.0,67,652860.0,0,4.66,0,0,0,2025-03-29 18:55:33.443736
 Yemen ,41773878,0,1190714.0,79,527970.0,0,4.41,0,0,0,2025-03-29 18:55:33.443782
 Canada ,40126723,0,384293.0,4,9093510.0,326204,1.33,0,0,0,2025-03-29 18:55:33.443824
 Angola ,39040039,0,1154190.0,31,1246700.0,0,4.95,0,0,0,2025-03-29 18:55:33.443865
 Ukraine ,38980376,0,1120155.0,67,579320.0,1702358,1.0,0,0,0,2025-03-29 18:55:33.443907
 Morocco ,38430770,0,349597.0,86,446300.0,0,2.18,0,0,0,2025-03-29 18:55:33.443980
 Poland ,38140910,0,0.0,125,306230.0,0,1.31,0,0,0,2025-03-29 18:55:33.444033
 Uzbekistan ,37053428,0,691569.0,87,425400.0,0,3.45,27,0,0,2025-03-29 18:55:33.444077
 Malaysia ,35977838,0,420165.0,110,328550.0,166615,1.53,31,0,0,2025-03-29 18:55:33.444115
 Mozambique ,35631653,0,999887.0,45,786380.0,0,4.62,0,0,0,2025-03-29 18:55:33.444153
 Ghana ,35064272,0,636858.0,154,227540.0,0,3.3,0,0,0,2025-03-29 18:55:33.444190
 Peru ,34576665,0,358817.0,27,1280000.0,11931,1.94,0,0,0,2025-03-29 18:55:33.444228
 Saudi Arabia ,34566328,0,603571.0,16,2149690.0,119738,2.29,0,0,0,2025-03-29 18:55:33.444265
 Madagascar ,32740678,0,775722.0,56,581795.0,0,3.85,0,0,0,2025-03-29 18:55:33.444303
 Côte d'Ivoire ,32711547,0,777317.0,103,318000.0,11305,4.17,0,0,0,2025-03-29 18:55:33.444341
 Cameroon ,29879337,0,755593.0,63,472710.0,0,4.18,18,0,0,2025-03-29 18:55:33.444378
 Nepal ,29618118,0,0.0,207,143350.0,0,1.94,0,0,0,2025-03-29 18:55:33.444418
 Venezuela ,28516896,0,111353.0,32,882050.0,0,2.06,0,0,0,2025-03-29 18:55:33.444465
 Niger ,27917831,0,885419.0,22,1266700.0,0,5.79,0,0,0,2025-03-29 18:55:33.444502
 Australia ,26974026,0,260821.0,4,7682300.0,137109,1.64,0,0,0,2025-03-29 18:55:33.444538
 North Korea ,26571036,0,72213.0,221,120410.0,0,1.77,0,0,0,2025-03-29 18:55:33.444575
 Syria ,25620427,0,947667.0,140,183630.0,421693,2.66,0,0,0,2025-03-29 18:55:33.444614
 Mali ,25198821,0,720226.0,21,1220190.0,0,5.42,0,0,0,2025-03-29 18:55:33.444656
 Burkina Faso ,24074580,0,525799.0,88,273600.0,0,4.0,0,0,0,2025-03-29 18:55:33.444695
 Sri Lanka ,23229470,0,125905.0,370,62710.0,0,1.94,0,0,0,2025-03-29 18:55:33.444750
 Taiwan ,23112793,0,0.0,653,35410.0,0,0.86,0,0,0,2025-03-29 18:55:33.444817
 Malawi ,22216120,0,560834.0,236,94280.0,0,3.53,0,0,0,2025-03-29 18:55:33.444854
 Zambia ,21913874,0,598918.0,29,743390.0,6562,3.97,0,0,0,2025-03-29 18:55:33.444888
 Chad ,21003705,0,704582.0,17,1259200.0,0,5.94,0,0,0,2025-03-29 18:55:33.444925
 Kazakhstan ,20843754,0,251183.0,8,2699700.0,0,2.95,0,0,0,2025-03-29 18:55:33.444986
 Chile ,19859921,0,95150.0,27,743532.0,51712,1.13,0,0,0,2025-03-29 18:55:33.445026
 Somalia ,19654739,0,645588.0,31,627340.0,12077,5.91,0,0,0,2025-03-29 18:55:33.445060
 Senegal ,18931966,0,429982.0,98,192530.0,0,3.71,0,0,0,2025-03-29 18:55:33.445098
 Romania ,18908650,0,0.0,82,230170.0,0,1.71,0,0,0,2025-03-29 18:55:33.445139
 Guatemala ,18687881,0,281522.0,174,107160.0,0,2.26,0,0,0,2025-03-29 18:55:33.445185
 Netherlands ,18346819,0,118077.0,544,33720.0,104681,1.44,0,0,0,2025-03-29 18:55:33.445223
 Ecuador ,18289896,0,154418.0,74,248360.0,0,1.79,0,0,0,2025-03-29 18:55:33.445264
 Cambodia ,17847982,0,209181.0,101,176520.0,0,2.51,0,0,0,2025-03-29 18:55:33.445302
 Zimbabwe ,16950795,0,316422.0,44,386850.0,0,3.62,0,0,0,2025-03-29 18:55:33.445338
 Guinea ,15099727,0,344942.0,61,245720.0,0,4.04,0,0,0,2025-03-29 18:55:33.445376
 Benin ,14814460,0,351736.0,131,112760.0,0,4.42,18,0,0,2025-03-29 18:55:33.445414
